"種類","価格情報区分","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","間取り","面積（㎡）","建築年","建物の構造","用途","今後の利用目的","都市計画","建ぺい率（％）","容積率（％）","取引時期","改装","取引の事情等"
"中古マンション等","成約価格情報","13109","東京都","品川区","荏原","武蔵小山",10,66000000,"３ＬＤＫ",65,"2011年","ＲＣ","","","商業","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","荏原","武蔵小山",7,43000000,"１ＬＤＫ",35,"2018年","ＲＣ","","","商業","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","荏原","荏原中延",9,38000000,"１ＬＤＫ",45,"2010年","ＲＣ","","","商業","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","荏原","武蔵小山",7,19000000,"１Ｋ",20,"2000年","ＳＲＣ","","","商業","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","荏原","西小山",8,55000000,"２ＬＤＫ",65,"1991年","ＲＣ","","","１種住居","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","大井","大井町",4,37000000,"１Ｒ",25,"2019年","ＲＣ","","","近隣商業","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","大井","大井町",13,47000000,"２ＬＤＫ",55,"2004年","ＲＣ","","","１中住専","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","大井","大井町",5,20000000,"１Ｋ",25,"2003年","ＲＣ","","","商業","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","大井","大井町",9,30000000,"１ＬＤＫ",50,"1978年","ＲＣ","","","近隣商業","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","大井","大井町",5,84000000,"２ＬＤＫ",70,"2012年","ＲＣ","","","商業","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","大井","大井町",5,51000000,"１ＬＤＫ",45,"2012年","ＲＣ","","","１種住居","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","大井","大井町",9,60000000,"２ＬＤＫ",55,"2006年","ＲＣ","","","１種住居","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","大井","大井町",5,92000000,"２ＬＤＫ",75,"2012年","ＲＣ","","","商業","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","大井","大井町",5,83000000,"２ＬＤＫ",70,"2012年","ＲＣ","","","商業","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13109","東京都","品川区","上大崎","目黒",9,53000000,"１ＬＤＫ",50,"2007年","ＲＣ","","","１低住専","","","2021年第1四半期","",""
